Model,Launch,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,TDP (Watts)
GeForce GTX 285M,2/1/10,9.6,38.4,576,75
GeForce 305M,1/10/10,2.1,4.2,55,14
GeForce 310M,1/10/10,2.5,5,73,14
GeForce 315M,1/5/11,2.42,4.85,58.18,14
GeForce 320M,4/1/10,3.6,7.2,136.8,20
GeForce GT 320M,1/21/10,4,4,90,14
GeForce GT 325M,1/10/10,3.6,7.2,142,23
GeForce GT 330M,1/10/10,4.6,9.2,182,23
GeForce GT 335M,1/7/10,3.6,10.8,233,28
GeForce GTS 350M,1/7/10,4,16,360,28
GeForce GTS 360M,1/7/10,4.4,17.6,413,38
GeForce 410M,1/5/11,2.3,4.6,110.4,12
GeForce GT 420M,9/3/10,2,8,192,16.5
GeForce GT 425M,9/3/10,2.24,8.96,215.04,21.5
GeForce GT 435M,9/3/10,2.6,10.4,249.6,33.5
GeForce GT 445M,9/3/10,9.44,14.16,339.84,32.5
GeForce GT 445M,9/3/10,14.16,14.16,339.84,32.5
GeForce GTX 460M,9/3/10,16.2,21.6,518.4,47.5
GeForce GTX 470M,9/3/10,13.2,26.4,633.6,47.5
GeForce GTX 480M,5/25/10,13.6,18.7,598.4,100
GeForce GTX 485M,1/5/11,18.4,36.8,883.2,100
GeForce GT 520M,1/5/11,2.96,5.92,142.08,12
GeForce GT 520MX,5/30/11,3.6,7.2,172.8,20
GeForce GT 525M,1/5/11,2.4,9.6,230.4,21.5
GeForce GT 540M,1/5/11,2.688,10.752,258.048,33.5
GeForce GT 550M,1/5/11,2.96,11.84,284.16,33.5
GeForce GT 550M,1/5/11,2.96,11.84,312.6,33.5
GeForce GT 555M,1/5/11,14.6,14.6,339.84,32.5
GeForce GT 555M,1/5/11,10.4,15.6,374.4,32.5
GeForce GT 555M,1/5/11,3,12,289.15,32.5
GeForce GTX 560M,5/30/11,18.6,24.8,595.2,75
GeForce GTX 570M,6/28/11,13.8,32.2,772.8,75
GeForce GTX 580M,6/28/11,19.8,39.7,952.3,100
GeForce 610M,12/1/11,3.6,7.2,142.08,12
GeForce GT 620M,4/1/12,2.5,10,240,15
GeForce GT 625M,10/1/12,2.5,10,240,15
GeForce GT 630M,4/1/12,2.6,10.7,258,33
GeForce GT 630M,4/1/12,3.2,12.8,307.2,33
